DT_CODE,Area_Name,Age,Total_P,Total_M,Total_F,Rural,Rural_M,Rural_F,Urban,Urban_M,Urban_F
478,District - Porbandar  (11),8,10974,5783,5191,5988,3117,2871,4986,2666,2320
479,District - Junagadh (12),8,53124,27967,25157,36597,19131,17466,16527,8836,7691
480,District - Amreli (13),8,28357,14992,13365,21469,11283,10186,6888,3709,3179
481,District - Bhavnagar (14),8,59898,32227,27671,37664,20145,17519,22234,12082,10152
482,District - Anand   (15),8,37854,20546,17308,27513,14977,12536,10341,5569,4772
483,District - Kheda (16),8,43747,23256,20491,34714,18381,16333,9033,4875,4158
484,District - Panch Mahals (17),8,53363,27919,25444,46928,24496,22432,6435,3423,3012
485,District - Dohad   (18),8,58794,30046,28748,54847,27959,26888,3947,2087,1860
486,District - Vadodara (19),8,75236,40046,35190,43390,22555,20835,31846,17491,14355
487,District - Narmada (20),8,12021,6265,5756,11061,5722,5339,960,543,417
488,District - Bharuch (21),8,28404,15045,13359,19419,10119,9300,8985,4926,4059
489,District - The Dangs (22),8,6298,3185,3113,5832,2956,2876,466,229,237
490,District - Navsari   (23),8,20453,10712,9741,14403,7464,6939,6050,3248,2802
491,District - Valsad (24),8,32342,16925,15417,21836,11254,10582,10506,5671,4835
492,District - Surat (25),8,104713,57873,46840,21378,11186,10192,83335,46687,36648
493,District - Tapi (26),8,14134,7202,6932,12852,6536,6316,1282,666,616
468,District - Kachchh (01),9,41488,21587,19901,28702,14864,13838,12786,6723,6063
469,District - Banas Kantha (02),9,72679,38546,34133,64561,34024,30537,8118,4522,3596
470,District - Patan   (03),9,27743,14997,12746,22898,12247,10651,4845,2750,2095
471,District - Mahesana (04),9,37069,20789,16280,28531,15904,12627,8538,4885,3653
472,District - Sabar Kantha (05),9,48060,25616,22444,41419,21913,19506,6641,3703,2938
473,District - Gandhinagar (06),9,24259,13444,10815,14615,7950,6665,9644,5494,4150
474,District - Ahmadabad (07),9,121237,67189,54048,23241,12536,10705,97996,54653,43343
475,District - Surendranagar (08),9,35877,19322,16555,27271,14598,12673,8606,4724,3882
476,District - Rajkot (09),9,64024,35163,28861,28592,15400,13192,35432,19763,15669
477,District - Jamnagar (10),9,39855,21297,18558,23076,12228,10848,16779,9069,7710
478,District - Porbandar  (11),9,10855,5774,5081,5810,3038,2772,5045,2736,2309
479,District - Junagadh (12),9,52450,28068,24382,36357,19306,17051,16093,8762,7331
480,District - Amreli (13),9,27163,14568,12595,20586,11025,9561,6577,3543,3034
481,District - Bhavnagar (14),9,58103,31268,26835,36699,19549,17150,21404,11719,9685
482,District - Anand   (15),9,38055,20824,17231,27220,14910,12310,10835,5914,4921
483,District - Kheda (16),9,43067,23292,19775,34090,18365,15725,8977,4927,4050
484,District - Panch Mahals (17),9,51494,26901,24593,45106,23405,21701,6388,3496,2892
485,District - Dohad   (18),9,53315,27180,26135,49589,25249,24340,3726,1931,1795
486,District - Vadodara (19),9,73109,39418,33691,41304,21793,19511,31805,17625,14180
487,District - Narmada (20),9,12068,6269,5799,11090,5741,5349,978,528,450
488,District - Bharuch (21),9,28772,15276,13496,19721,10329,9392,9051,4947,4104
489,District - The Dangs (22),9,6130,3139,2991,5640,2878,2762,490,261,229
490,District - Navsari   (23),9,20699,10894,9805,14509,7518,6991,6190,3376,2814
491,District - Valsad (24),9,32198,16955,15243,21699,11219,10480,10499,5736,4763
492,District - Surat (25),9,100286,55702,44584,21750,11443,10307,78536,44259,34277
493,District - Tapi (26),9,14282,7314,6968,12973,6567,6406,1309,747,562
468,District - Kachchh (01),10,49520,26063,23457,34136,17925,16211,15384,8138,7246
469,District - Banas Kantha (02),10,85238,44637,40601,75667,39420,36247,9571,5217,4354
470,District - Patan   (03),10,32090,17340,14750,26262,14094,12168,5828,3246,2582
471,District - Mahesana (04),10,41717,23239,18478,31801,17535,14266,9916,5704,4212
472,District - Sabar Kantha (05),10,55505,29354,26151,47860,25148,22712,7645,4206,3439
473,District - Gandhinagar (06),10,27550,15395,12155,16230,8895,7335,11320,6500,4820
474,District - Ahmadabad (07),10,141645,78091,63554,26591,14032,12559,115054,64059,50995
475,District - Surendranagar (08),10,40938,21907,19031,30942,16383,14559,9996,5524,4472
476,District - Rajkot (09),10,74278,40581,33697,32373,17152,15221,41905,23429,18476
477,District - Jamnagar (10),10,46590,24833,21757,26524,13937,12587,20066,10896,9170
478,District - Porbandar  (11),10,12492,6595,5897,6826,3580,3246,5666,3015,2651
479,District - Junagadh (12),10,59636,31802,27834,41068,21637,19431,18568,10165,8403
480,District - Amreli (13),10,31711,16873,14838,23876,12608,11268,7835,4265,3570
481,District - Bhavnagar (14),10,65627,35219,30408,41340,21899,19441,24287,13320,10967
482,District - Anand   (15),10,42144,22997,19147,30235,16491,13744,11909,6506,5403
483,District - Kheda (16),10,49042,26329,22713,38605,20741,17864,10437,5588,4849
484,District - Panch Mahals (17),10,59039,30692,28347,51862,26848,25014,7177,3844,3333
485,District - Dohad   (18),10,63923,32715,31208,59486,30333,29153,4437,2382,2055
486,District - Vadodara (19),10,86155,46574,39581,49041,25742,23299,37114,20832,16282
